type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,9409,null,F,Kop.com,Sektor Teknologi Informasi dan Komunikasi,AKUN TES PSE ASING,2022-07-29,006580.05/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/33135e8245984539c7c0a79d80689525.png,SUSPENDED_BY_TAKEL,9319
tdpseTerbit,9408,null,MAMANGDAYA,zxc.test.dev,Sektor Teknologi Informasi dan Komunikasi,AKUN TES PSE ASING,2022-07-29,006580.04/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/8d6dfd3f14f14ce4e385e645511eb2d8.png,SUSPENDED_BY_TAKEL,9318
tdpseTerbit,9407,null,MANAN,manan.com,Sektor Teknologi Informasi dan Komunikasi,AKUN TES PSE ASING,2022-07-29,006580.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/21a87820ba4d1e167bbe561c828bc0bd.png,SUSPENDED_BY_TAKEL,9317
tdpseTerbit,9406,null,FF,mam.com,Sektor Teknologi Informasi dan Komunikasi,AKUN TES PSE ASING,2022-07-29,006580.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/f4b82d99c917b105096399503bd1e8da.png,SUSPENDED_BY_TAKEL,9316
tdpseTerbit,9405,null,FAUZI,fauzi.com,Sektor Teknologi Informasi dan Komunikasi,AKUN TES PSE ASING,2022-07-29,006580.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/72fbd65dfcebd9d8849deb6823deb244.png,SUSPENDED_BY_TAKEL,9315
tdpseTerbit,9404,null,PAYPAL,paypal.com,Sektor Keuangan,PAYPAL INC.,2022-07-29,006579.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/7aa7b928d50d20fa31c928c0265428cd.png,SUSPENDED_BY_TAKEL,9314
tdpseTerbit,4079,,HAK LABUH SATELIT,abcd.com,Sektor Keuangan,BRAWIJAYA CAPITAL INVESTAMA,2022-05-23,000285.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/c911b1e66254b82cdba9fa53511a544f.png,SUSPENDED_BY_TAKEL,4078
tdpseTerbit,4077,,MARIA KALAIJ BLOCKCHAIN TECHNOLOGY SYSTEM,bankmandirish.com,Sektor Keuangan,"SHANTOU MARIA INVESTMENT CO., LTD.",2022-05-23,000284.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/0b090935b47097a95955bfae73f645b8.png,SUSPENDED_BY_TAKEL,4076
tdpseTerbit,4076,,INI APA YA,110.110.110.135,Sektor Kesehatan,HYPNOTHERAPY PTE LTD,2022-05-23,000283.07/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/08566c01230b136e5736af1cb4af3e3f.png,SUSPENDED_BY_TAKEL,4075
tdpseTerbit,4075,,THE HYPNOSS THERAP PLATFORM,110.110.150.136,Sektor Kesehatan,HYPNOTHERAPY PTE LTD,2022-05-23,000283.06/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/4393f95b0710ecafa0ec400fb41bcd5e.png,SUSPENDED_BY_TAKEL,4074
