type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,12129,null,NINJA MUST DIE,pandadagames.com,Sektor Perdagangan,PANDADA GAMES LIMITED,2022-11-04,008360.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/14511a4c7bc6009709f5c9ea2a50bc4b.png,TERDAFTAR,11924
tdpseTerbit,12074,null,MU ONLINE,muonline.webzen.com,Sektor Teknologi Informasi dan Komunikasi,WEBZEN INC.,2022-11-01,008330.03/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/d5f15d24e6c30a4e9d33bb106b6ae131.png,TERDAFTAR,11877
tdpseTerbit,12073,null,WEBZEN.COM,webzen.com,Sektor Teknologi Informasi dan Komunikasi,WEBZEN INC.,2022-11-01,008330.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/f27dd68e530c931a9b0a5a6283644617.png,TERDAFTAR,11876
tdpseTerbit,12072,null,MU ARCHANGEL,muarchangel.webzen.com,Sektor Teknologi Informasi dan Komunikasi,WEBZEN INC.,2022-11-01,008330.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/15b380655f5333815ea97834e5fff992.png,TERDAFTAR,11875
tdpseTerbit,12056,null,ADNXS.COM,adnxs.com,Sektor Teknologi Informasi dan Komunikasi,XANDR INC.,2022-10-31,008318.02/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/39adbee68a25b64f9026efa546478e3b.png,TERDAFTAR,11859
tdpseTerbit,12055,null,XANDR.COM,xandr.com,Sektor Teknologi Informasi dan Komunikasi,XANDR INC.,2022-10-31,008318.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/22af9f698869058546065d425f0cbe39.png,TERDAFTAR,11858
tdpseTerbit,11976,null,NIGO,http:kdliverebo.com,Sektor Teknologi Informasi dan Komunikasi,NIGO2020,2022-10-27,008273.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/45387c20fbeabf1e041c20d01ef3f89e.png,TERDAFTAR,11784
tdpseTerbit,11988,null,PHASE 10: WORLD TOUR,-,Sektor Teknologi Informasi dan Komunikasi,MATTEL163 LIMITED,2022-10-27,008258.04/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/64427bce218d56b9c59b779810cab4ce.png,TERDAFTAR,11792
tdpseTerbit,11987,null,SKIP-BO,-,Sektor Teknologi Informasi dan Komunikasi,MATTEL163 LIMITED,2022-10-27,008258.03/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/76e1132b82c6b0437c531a499852b3ca.png,TERDAFTAR,11791
tdpseTerbit,11986,null,UNO !,-,Sektor Teknologi Informasi dan Komunikasi,MATTEL163 LIMITED,2022-10-27,008258.02/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/2f268e23fedb944b1295d04ee0d64ee4.png,TERDAFTAR,11790
tdpseTerbit,11957,null,MATTEL163,mattel163.com,Sektor Teknologi Informasi dan Komunikasi,MATTEL163 LIMITED,2022-10-25,008258.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/7dd349c07b6610a5b7a324b49c40d406.png,TERDAFTAR,11761
tdpseTerbit,11929,null,TRUECALLER,truecaller.com,Sektor Teknologi Informasi dan Komunikasi,Truecaller International LLP,2022-10-23,008226.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/31b4ed43bf03441e8fada97d006448cc.png,TERDAFTAR,11730
tdpseTerbit,11910,null,WEWORK,wework.com,Sektor Perdagangan,WEWORK COMPANIES LLC,2022-10-21,008209.02/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/cda3db0fd21455a0f3ea3ded60a98a40.png,TERDAFTAR,11713
tdpseTerbit,11909,null,WEWORK,wework.com,Sektor Perdagangan,WEWORK COMPANIES LLC,2022-10-21,008209.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/c65e5201f3815e3c3a68237ef5d665b0.png,TERDAFTAR,11712
tdpseTerbit,11875,null,DATADOG SAAS PLATFORM,datadoghq.com,Sektor Teknologi Informasi dan Komunikasi,"DATADOG, INC.",2022-10-19,008170.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/ef07cd292ac90536e490460db14a175a.png,TERDAFTAR,11677
tdpseTerbit,11848,null,WELOVESUPERMOM.COM,welovesupermom.com,Sektor Perdagangan,WELOVESUPERMOM PTE LTD,2022-10-18,008159.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/6dd7724e7bf40a418891605d6e6173bc.png,TERDAFTAR,11650
tdpseTerbit,11810,null,SIMRS KSATRIA EHOSPITAL,ksatria.io,Sektor Kesehatan,KSATRIA MEDICAL SYSTEMS PTY LTD,2022-10-14,008119.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/2cc5d83ff558a1fc5e0de9d6a716f03c.png,TERDAFTAR,11610
tdpseTerbit,11791,null,OURSONG,oursong.com,Sektor Teknologi Informasi dan Komunikasi,OUR HAPPY COMPANY PTE LTD,2022-10-13,008108.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/42a961ea1d616cf47f5081e87e51ded0.png,TERDAFTAR,11591
tdpseTerbit,11770,null,THE ROYAL BEACH SEMINYAK,theroyalbeachseminyak.com,Sektor Perdagangan,GLOBAL TRUST CHAMBER,2022-10-12,008087.04/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/4b4bd0d861c693f5a32741b55df41d39.png,TERDAFTAR,11570
tdpseTerbit,11769,null,REPINDO RESOURCES,repindoresources.com.au,Sektor Perdagangan,GLOBAL TRUST CHAMBER,2022-10-12,008087.03/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/ce4c3c0539480833f7bf920bac3fac1a.png,TERDAFTAR,11569
tdpseTerbit,11768,null,BAYAN RESOURCES,bayan.com.sg,Sektor Perdagangan,GLOBAL TRUST CHAMBER,2022-10-12,008087.02/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/5050f2b1efd57b3a24637106d31c9a5d.png,TERDAFTAR,11568
tdpseTerbit,11767,null,YUANTA SECURITIES KOREA,yuantakorea.com,Sektor Keuangan,GLOBAL TRUST CHAMBER,2022-10-12,008087.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/a8d26adc2535eef9dcaf33e16f11b630.png,TERDAFTAR,11567
tdpseTerbit,11763,null,THE ROYAL BEACH SEMINYAK,theroyalbeachseminyak.com,Sektor Perdagangan,REPINDO RESOURCES PTY. LTD.,2022-10-11,008086.04/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/b7ade885b40201150dc0bc7f8fee49af.png,TERDAFTAR,11563
tdpseTerbit,11762,null,MACH ENERGY,machenergy.com,Sektor Perdagangan,REPINDO RESOURCES PTY. LTD.,2022-10-11,008086.03/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/24e629cd209cdb49715ae6e707c68f0d.png,TERDAFTAR,11562
tdpseTerbit,11761,null,REPINDO RESOURCES,repindoresources.com.au,Sektor Perdagangan,REPINDO RESOURCES PTY. LTD.,2022-10-11,008086.02/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/66888eb236c2dbe910082db193fbc168.png,TERDAFTAR,11561
tdpseTerbit,11760,null,YUANTA SEKURITAS KOREA,yuantakorea.com,Sektor Keuangan,REPINDO RESOURCES PTY. LTD.,2022-10-11,008086.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/155ffd18ab4785c1616f1dfda94c5828.png,TERDAFTAR,11560
tdpseTerbit,11735,null,ISLAND KING PRO,forevernine.com,Sektor Teknologi Informasi dan Komunikasi,"HK FOREVER9 TECHNOLOGY CO., LIMITED",2022-10-10,008063.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/f681b631a37d2e943374c056160c5cb5.png,TERDAFTAR,11535
tdpseTerbit,11734,null,BANK MANDIRI HONG KONG,bankmandirihk.com,Sektor Keuangan,AVI ENERGI INDONESIA,2022-10-10,008062.05/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/dc49bd7d67196b320e46053b427cc4c6.png,TERDAFTAR,11534
tdpseTerbit,11733,null,REPINDO RESOURCES,repindoresources.com.au,Sektor Perdagangan,AVI ENERGI INDONESIA,2022-10-10,008062.04/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/25c0e9dd04528391d4bfac80d5771501.png,TERDAFTAR,11533
tdpseTerbit,11732,null,MANDIRI INVESTASI,mandiri-investasi.co.id,Sektor Keuangan,AVI ENERGI INDONESIA,2022-10-10,008062.03/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/f2dd1ea1f1081fc078c01d478783c2ea.png,TERDAFTAR,11532
tdpseTerbit,11731,null,UOB ASSET MANAGEMENT (D/H PG ASSET MANAGEMENT ),pg-am.com,Sektor Keuangan,AVI ENERGI INDONESIA,2022-10-10,008062.02/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/b97abdc0aac56a5e04a13d24dc85ff37.png,TERDAFTAR,11531
tdpseTerbit,11730,null,UOB INTERNATIONAL INVESTMENT PRIVATE LIMITED,uobgroup.com,Sektor Keuangan,AVI ENERGI INDONESIA,2022-10-10,008062.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/f20f5c64b56b2aa50e57a6e1f4844be3.png,TERDAFTAR,11530
tdpseTerbit,11729,null,REPINDO RESOURCES,repindoresources.com.au,Sektor Perdagangan,MAHIR MUDA PRATAMA,2022-10-10,008061.02/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/88a1a3879cf92a4e7d1b442938728ecf.png,TERDAFTAR,11529
tdpseTerbit,11728,null,MPY GLOBAL (UK) LITD.,btinternet.com,Sektor Keuangan,MAHIR MUDA PRATAMA,2022-10-10,008061.01/DJAI.PSE/10/2022,https://pse.kominfo.go.id/storage/images/qr_code/7e2ab1b1c0076b197bb5e96ccc4adf3b.png,TERDAFTAR,11528
