type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,9203,null,ALIEXPRESS,aliexpress.com,Sektor Perdagangan,ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,2022-07-27,006456.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/b2ebe8bf74f613f5902930a7fc639933.png,TERDAFTAR,9111
tdpseTerbit,9202,null,ALIBABA.COM,alibaba.com,Sektor Perdagangan,ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED,2022-07-27,006456.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/f6c7fc80abe8e4ad53d5d8172ce8deda.png,TERDAFTAR,9110
tdpseTerbit,9200,null,TAOBAO,world.taobao.com,Sektor Perdagangan,"ZHEJIANG TAOBAO NETWORK CO., LTD.",2022-07-27,006454.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/169563c68b945429b68fdda2cb70ad36.png,TERDAFTAR,9108
tdpseTerbit,9193,null,SENTBE,sentbe.com,Sektor Keuangan,SENTBE PTE LTD,2022-07-27,006451.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/c4efad6e4228b4a58eff98ecfca7bc23.png,TERDAFTAR,9101
tdpseTerbit,9191,null,"ELECTRONIC SOUL INTERACTIVE TECHNOLOGY(HONG KONG) CO . ,  LIMITED",coco4game.com,Sektor Teknologi Informasi dan Komunikasi,DIANHUN,2022-07-27,006450.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/64388204ae6e6abf9cb7b3c22933e356.png,TERDAFTAR,9099
tdpseTerbit,9180,null,OPERA NEWS,opera.com,Sektor Teknologi Informasi dan Komunikasi,OPERA NORWAY AS,2022-07-27,006445.06/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/719c3769d1b0b67684f77e9b6c138f88.png,TERDAFTAR,9088
tdpseTerbit,9179,null,OPERA FOR ANDROID,opera.com,Sektor Teknologi Informasi dan Komunikasi,OPERA NORWAY AS,2022-07-27,006445.05/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/6138199a18ded3dc1660ad7ee752f249.png,TERDAFTAR,9087
tdpseTerbit,9178,null,OPERA MINI,opera.com,Sektor Teknologi Informasi dan Komunikasi,OPERA NORWAY AS,2022-07-27,006445.04/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/0aaca34ebe8f5e509d8887237b174179.png,TERDAFTAR,9086
tdpseTerbit,9177,null,OPERA NEWS,opera.com,Sektor Teknologi Informasi dan Komunikasi,OPERA NORWAY AS,2022-07-27,006445.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/bf9f1b5bc60987bd287942aaea9800c4.png,TERDAFTAR,9085
tdpseTerbit,9176,null,OPERA FOR ANDROID,opera.com,Sektor Teknologi Informasi dan Komunikasi,OPERA NORWAY AS,2022-07-27,006445.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/db45544dbd03e979bcfbae768082a433.png,TERDAFTAR,9084
