type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,1765,null,DANA RINGAN,http://www.danaringan.com/,Sektor Keuangan,SIMPAN PINJAM EKA SETIA NUSANTARA,2021-07-22,001179.01/DJAI.PSE/07/2021,https://pse.kominfo.go.id/storage/images/qr_code/d9b2dcda409bbe3af2869dfe4d016ddf.png,DICABUT,4004
tdpseTerbit,1751,null,RUPIAH EMAS,http://www.rupiahemas.com/,Sektor Keuangan,SIMPAN PINJAM DANA SENJA INDONESIA,2021-07-22,001165.01/DJAI.PSE/07/2021,https://pse.kominfo.go.id/storage/images/qr_code/928726b30da9b6e5b104ed2c1560b514.png,DICABUT,4007
tdpseTerbit,1750,null,KOTAK UANG,http://www.kotakuang.com/,Sektor Keuangan,SIMPAN PINJAM DANA CEPAT CAIR,2021-07-22,001164.01/DJAI.PSE/07/2021,https://pse.kominfo.go.id/storage/images/qr_code/2636b93b5fbddee4306a964c07934c9b.png,DICABUT,4008
tdpseTerbit,1704,null,COINKU,http://coinku.com/,Sektor Keuangan,SIMPAN PINJAM COINKU INDONESIA BERSAMA,2021-07-15,001122.01/DJAI.PSE/07/2021,https://pse.kominfo.go.id/storage/images/qr_code/e25ce1d065bf74ecda1c2d97dcfd436e.png,DICABUT,4009
tdpseTerbit,1327,null,PINJAMDANA,http://www.pinjamdana.id/,Sektor Teknologi Informasi dan Komunikasi,SIMPAN PINJAM DANA SUMBER REJEKI,2021-06-02,000884.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/061b2bc7d1d55fca7d39ea5039c27556.png,DICABUT,4010
tdpseTerbit,552,null,KREDIT KILAT,http://www.kreditkilat.com,Sektor Teknologi Informasi dan Komunikasi,SIMPAN PINJAM TETAP JAYA ABADI,2021-04-26,000448.01/DJAI.PSE/04/2021,https://pse.kominfo.go.id/storage/images/qr_code/4a9c7df6464f6918135cc072fc20ba8e.png,DICABUT,4003
tdpseTerbit,290,null,APLIKASI TRANSPORTASI ONLINE,rodaindonesia.site,"Sektor Teknologi Informasi dan Komunikasi, Sektor Transportasi",MALESUNG MINAESA DWIPANTARA,2021-03-04,000245.01/DJAI.PSE/03/2021,https://pse.kominfo.go.id/storage/images/qr_code/a9e852728e269eae576346541947f8e9.png,DICABUT,4015
tdpseTerbit,713,null,CREDIT TUNAI,http://credittunai.com,Sektor Teknologi Informasi dan Komunikasi,SIMPAN PINJAM SUMBER DANA BESAR,2021-04-26,000196.02/DJAI.PSE/04/2021,https://pse.kominfo.go.id/storage/images/qr_code/c10fcbd74be5900f83c389f043811416.png,DICABUT,3818
tdpseTerbit,550,null,KREDIT TUNAI,Http://danapastijaya.com,Sektor Teknologi Informasi dan Komunikasi,SIMPAN PINJAM DANA PASTI JAYA,2021-04-26,000150.03/DJAI.PSE/04/2021,https://pse.kominfo.go.id/storage/images/qr_code/94dc180eb76610165a6361c54761a5d6.png,DICABUT,4013
tdpseTerbit,338,null,SOLUSI DANAKU,Http://www.danapastijaya.com,Sektor Keuangan,SIMPAN PINJAM DANA PASTI JAYA,2021-03-08,000150.02/DJAI.PSE/03/2021,https://pse.kominfo.go.id/storage/images/qr_code/9f15b7877fbbb0d0283d0fbb71c95df7.png,DICABUT,4012
tdpseTerbit,169,null,SUMBER TUNAI PRO,-,Sektor Keuangan,SIMPAN PINJAM DANA PASTI JAYA,2021-02-24,000150.01/DJAI.PSE/02/2021,https://pse.kominfo.go.id/storage/images/qr_code/b6cb782901e8e44ae15ead82d7905e69.png,DICABUT,4011
tdpseTerbit,138,null,INDOCASH,-,Sektor Keuangan,SIMPAN PINJAM RENGAS DENGKLOK INDONESIA,2021-02-24,000124.01/DJAI.PSE/02/2021,https://pse.kominfo.go.id/storage/images/qr_code/a8113d4d1bbf9db1f31faab79dfe234a.png,DICABUT,4002
tdpseTerbit,89,null,ONE DANA,-,Sektor Keuangan,SIMPAN PINJAM MAJU INDAH BERSAMA,2021-02-23,000079.01/DJAI.PSE/02/2021,https://pse.kominfo.go.id/storage/images/qr_code/5e3a96eeceff7f01a5ead1d37bcda58a.png,DICABUT,4014
tdpseTerbit,88,null,DANA RAKYAT PRO,-,Sektor Keuangan,SIMPAN PINJAM MUARA BARU INDAH,2021-02-23,000078.01/DJAI.PSE/02/2021,https://pse.kominfo.go.id/storage/images/qr_code/3ec25fa88fee6cb8c342e217d83ee7df.png,DICABUT,4006
