type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,6373,null,Whatsapp Bussiness,https://bkharisma.business.site//,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",KURNIA HASIBUAN ARISMA,2022-04-24,002604.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/a725c831499233aca1172c306b45dca4.png,SUSPENDED_BY_TAKEL,3872
tdpseTerbit,3781,null,"Jakarta Post etc,Facebook ,ESPN",www.availelok.co.id,"Sektor Kesehatan, Sektor Perdagangan",AVAIL ELOK INDONESIA,2022-04-05,002455.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/d6b6c4b210ef7bd4970822ce2cc5c6dc.png,SUSPENDED_BY_TAKEL,3903
tdpseTerbit,3752,null,Instagram,-,Sektor Perdagangan,KONVERSI PLASTIK BUMI LESTARI,2022-04-02,002433.01/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/1436db57a9e656ff42b2a086a289429f.png,SUSPENDED_BY_TAKEL,3504
tdpseTerbit,3625,null,Google,-,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",CITRA LESTARI,2022-03-23,002363.01/DJAI.PSE/03/2022,https://pse.kominfo.go.id/storage/images/qr_code/c6c5afba38c7df6f7656086388f4ca7d.png,SUSPENDED_BY_TAKEL,3644
tdpseTerbit,3547,null,FACEBOOK DAN MEDIA SOSIAL LAINYA,-,Sektor Perdagangan,ADI SETIYAWAN,2022-03-15,002312.01/DJAI.PSE/03/2022,https://pse.kominfo.go.id/storage/images/qr_code/9188f35f23e29b09df14a72efe5b18ee.png,SUSPENDED_BY_TAKEL,2993
tdpseTerbit,3546,null,- GMAIL dan  - Google Drive untuk Google Sheet dan Google Word,mail.gmail.com  & drive.google.com,Sektor Perdagangan,NIRAH DIGITAL MEDIA,2022-03-15,002311.01/DJAI.PSE/03/2022,https://pse.kominfo.go.id/storage/images/qr_code/143aa0b899583248d851b8fcea1ea084.png,SUSPENDED_BY_TAKEL,2939
tdpseTerbit,3315,null,GOOGLE,google.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",CV. DAUN JATI,2022-02-18,002147.01/DJAI.PSE/02/2022,https://pse.kominfo.go.id/storage/images/qr_code/533b87ddf3e0a914d519bf01e1a3542b.png,SUSPENDED_BY_TAKEL,1732
tdpseTerbit,3989,null,BBTI Testing,-,Sektor Teknologi Informasi dan Komunikasi,LAKU6 ONLINE INDONESIA,2022-04-21,001807.05/DJAI.PSE/04/2022,https://pse.kominfo.go.id/storage/images/qr_code/1be633380117dee6c0dddb08f60b5fb0.png,SUSPENDED_BY_TAKEL,3956
tdpseTerbit,2507,null,facebook,-,Sektor Perdagangan,MOCH YUSUF NOVI ARDIANSYAH,2021-11-30,001660.01/DJAI.PSE/11/2021,https://pse.kominfo.go.id/storage/images/qr_code/449e84b0f5cd6bae5760bb280aa29ff1.png,SUSPENDED_BY_TAKEL,1740
tdpseTerbit,2153,null,ALLO BANK OLLA,api.whatsapp.com/send/?phone=%2B6282208224110&text&app_absent=0,Sektor Keuangan,PT Allo Bank Indonesia Tbk,2021-10-26,001435.06/DJAI.PSE/10/2021,https://pse.kominfo.go.id/storage/images/qr_code/1ebb26bc467062d0cbc2c9c4c04f60d3.png,SUSPENDED_BY_TAKEL,3341
