type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,11204,128800070290500000001,JADIHACKER,jadihacker.id,Sektor Teknologi Informasi dan Komunikasi,RAYMOND INVESTAMA GRUP,2022-09-15,007771.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/d4c9ea05d82e85ce7fd1968953db3f56.png,TERDAFTAR,11012
tdpseTerbit,11203,020001024158700020001,MEDIA REALITA INDONESIA,realitaindonesia.com,Sektor Teknologi Informasi dan Komunikasi,REALITA MEDIA NUSANTARA,2022-09-15,007769.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/58f6540fc4d026c87eb08e7ef2290a9b.png,TERDAFTAR,11011
tdpseTerbit,11202,030222005468900050001,MITRA CSR,mitracsr.com,Sektor Teknologi Informasi dan Komunikasi,INTERMEDIA MITRA NUSANTARA,2022-09-15,007767.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/ee98a635f8c97a669127cf79b8de4fc7.png,TERDAFTAR,11010
tdpseTerbit,11201,912020031210500000001,SIMRS-TEN,-,Sektor Teknologi Informasi dan Komunikasi,TRIAKAR EMAS NUSANTARA,2022-09-15,007766.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/78534061a6db0b8f6aa0084b20f270c7.png,TERDAFTAR,11009
tdpseTerbit,11199,022020976223300010002,AMININ,aminin.com,Sektor Teknologi Informasi dan Komunikasi,INDONESIA MAJU AAMIIN,2022-09-14,007763.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/1ed8d3562e8329f925212508825cfe0f.png,TERDAFTAR,11007
tdpseTerbit,11198,170822001118800020001,TAXIJEK OL1416,-,"Sektor Transportasi, Sektor Teknologi Informasi dan Komunikasi",VICTOR NOVELLO KELPITNA,2022-09-14,007762.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/9769c4ff1758a6dcc1ddc958e840eaf9.png,TERDAFTAR,11005
tdpseTerbit,11197,125600143104400000001,ENEVTI.COM,enevti.com,Sektor Teknologi Informasi dan Komunikasi,KOLABORASI KERJA INDONESIA,2022-09-14,007761.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/6ad23f5720ffdcb09b84cfcb34a9ce7e.png,TERDAFTAR,11004
tdpseTerbit,11200,140922009035300060001,SIMKES KHANZA,yaski.or.id,Sektor Kesehatan,SIMRS KHANZA INDONESIA,2022-09-14,007758.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/6d5ea440250c2239a870dda5c7027f83.png,TERDAFTAR,11008
tdpseTerbit,11191,912001227263300010001,LAPAKITA,-,Sektor Perdagangan,AULIA PRATAMA,2022-09-14,007757.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/cee3bd1c700eff42c8670bb645ad2273.png,TERDAFTAR,10998
tdpseTerbit,11190,190322000304800010001,MEDIFY,medify.id,Sektor Kesehatan,GLOBAL MEDIKA DIGITAMA,2022-09-14,007756.01/DJAI.PSE/09/2022,https://pse.kominfo.go.id/storage/images/qr_code/5ab0daa22e603bb3234c6086ce0e1cef.png,TERDAFTAR,10997
