type,id,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
tdpseTerbit,5025,912050174283300010001,ALAMI SHARIA,p2p.alamisharia.co.id,Sektor Keuangan,ALAMI FINTEK SHARIA,2022-07-01,000887.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/3b5af2ed9dccdbdf0a967b0e2fe3ea0e.png,TERDAFTAR,4896
tdpseTerbit,1331,null,Platform Funder Dan Beneficiary,https://p2p.alamisharia.co.id,Sektor Keuangan,ALAMI FINTEK SHARIA,2021-06-02,000887.02/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/142b412a388b0fb4799bcb2c6acb2e61.png,TERDAFTAR,756
tdpseTerbit,1330,null,Website Company ALAMI Sharia,https://alamisharia.co.id,Sektor Keuangan,ALAMI FINTEK SHARIA,2021-06-02,000887.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/fa467355e0b276eb4e553b007a2ef590.png,TERDAFTAR,755
tdpseTerbit,1329,null,Viciscore,-,Sektor Teknologi Informasi dan Komunikasi,VERIFIKASI INFORMASI CREDIT INDONESIA,2021-06-02,000886.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/96a58f9796f730f273be3e5716a69394.png,TERDAFTAR,955
tdpseTerbit,7186,912010214275200010002,WEBSITE PT BANK JAGO TBK,jago.com,Sektor Keuangan,BANK JAGO,2022-07-19,000885.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/ee4c616720ac2b0cf706d1c4864c9ee9.png,TERDAFTAR,7067
tdpseTerbit,1328,null,Jago,-,Sektor Keuangan,BANK JAGO,2021-06-02,000885.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/996788522f1834a591ccac804798bd7c.png,TERDAFTAR,934
tdpseTerbit,1326,null,ROBICOMSTORE,https://robicomstore.id/,Sektor Perdagangan,ROBICOM CIPTA SOLUSINDO,2021-06-02,000883.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/30315334a9ed0a112af767c1d7aa059b.png,TERDAFTAR,2490
tdpseTerbit,1325,null,PT. Cerdas Solusi Indonesia,http://www.cs-indonesia.com/,Sektor Teknologi Informasi dan Komunikasi,CERDAS SOLUSI INDONESIA,2021-06-02,000882.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/cce9383a154327a982aabb288762c724.png,TERDAFTAR,972
tdpseTerbit,5749,912011911026100050001,MITRA PAJAKKU,pajakku.com,Sektor Teknologi Informasi dan Komunikasi,MITRA PAJAKKU,2022-07-15,000881.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/aa317cbc55dc64229ce71f71f482c32d.png,TERDAFTAR,5613
tdpseTerbit,1324,null,Pajakku,www.pajakku.com,Sektor Teknologi Informasi dan Komunikasi,MITRA PAJAKKU,2021-06-02,000881.01/DJAI.PSE/06/2021,https://pse.kominfo.go.id/storage/images/qr_code/36474027b6053398bbfd0db9f841781d.png,TERDAFTAR,2576
